time,open,high,low,close,volume
2012-01-01,601.0,630.0,597.0,602.0,2940
2012-01-02,602.0,620.0,603.0,610.0,1110
2012-01-03,610.0,620.0,595.0,614.0,4810
2012-01-04,614.0,619.0,600.0,619.0,5290
2012-01-05,619.0,614.0,604.0,613.0,1180
2012-01-08,613.0,611.0,605.0,609.0,2090
2012-01-09,609.0,610.0,605.0,608.0,1320
2012-01-10,608.0,615.0,609.0,610.0,1700
2012-01-11,610.0,632.0,609.0,610.0,1950
2012-01-12,610.0,613.0,598.0,609.0,1930
2012-01-16,609.0,612.0,597.0,609.0,2020
2012-01-17,609.0,579.0,579.0,579.0,80
2012-01-18,610.0,608.0,587.0,608.0,1380
2012-01-22,608.0,611.0,605.0,607.0,2310
2012-01-23,607.0,622.0,606.0,610.0,3430
2012-01-25,610.0,612.0,600.0,612.0,150
2012-01-26,612.0,615.0,610.0,612.0,2660
2012-01-29,612.0,614.0,598.0,614.0,5440
2012-01-31,614.0,612.0,605.0,612.0,1280
2012-02-01,612.0,610.0,607.0,609.0,2860
2012-02-02,609.0,612.0,606.0,606.0,4880
2012-02-05,606.0,610.0,608.0,610.0,2530
2012-02-06,610.0,608.0,600.0,605.0,1900
2012-02-07,605.0,605.0,600.0,600.0,3180
2012-02-08,600.0,600.0,597.0,597.0,1530
2012-02-09,597.0,597.0,594.0,594.0,2620
2012-02-12,594.0,595.0,590.0,595.0,2210
2012-02-13,595.0,595.0,591.0,591.0,5040
2012-02-14,591.0,594.0,589.0,589.0,2410
2012-02-15,589.0,592.0,589.0,590.0,1980
2012-02-16,590.0,599.0,594.0,597.0,510
2012-02-21,597.0,600.0,592.0,595.0,500
2012-02-23,595.0,599.0,592.0,593.0,1460
2012-02-26,593.0,594.0,590.0,590.0,1700
2012-02-27,590.0,591.0,590.0,590.0,1130
2012-02-28,590.0,593.0,590.0,593.0,1900
2012-02-29,593.0,598.0,595.0,596.0,1140
2012-03-01,596.0,598.0,594.0,598.0,2720
2012-03-04,598.0,602.0,594.0,599.0,3350
2012-03-05,599.0,602.0,598.0,599.0,2390
2012-03-06,599.0,600.0,597.0,599.0,2360
2012-03-11,599.0,600.0,590.0,598.0,6530
2012-03-12,598.0,598.0,590.0,597.0,9890
2012-03-13,597.0,598.0,597.0,597.0,800
2012-03-14,597.0,599.0,596.0,597.0,1890
2012-03-15,597.0,598.0,595.0,595.0,1240
2012-03-18,595.0,597.0,594.0,597.0,2090
2012-03-19,597.0,598.0,595.0,596.0,2410
2012-03-20,596.0,596.0,594.0,596.0,2260
2012-03-21,596.0,600.0,594.0,596.0,1960
2012-03-25,596.0,595.0,593.0,594.0,1800
2012-03-26,594.0,595.0,589.0,590.0,2580
2012-03-27,590.0,590.0,580.0,590.0,1100
2012-03-28,590.0,599.0,585.0,587.0,2390
2012-03-29,587.0,589.0,587.0,587.0,2920
2012-04-01,587.0,588.0,587.0,588.0,820
2012-04-02,588.0,599.0,590.0,594.0,720
2012-04-03,594.0,600.0,585.0,596.0,4140
2012-04-04,596.0,598.0,594.0,595.0,560
2012-04-05,595.0,605.0,595.0,595.0,1460
2012-04-08,595.0,600.0,594.0,596.0,1980
2012-04-09,596.0,605.0,596.0,600.0,4360
2012-04-10,600.0,608.0,592.0,606.0,630
2012-04-11,606.0,636.0,608.0,610.0,5120
2012-04-12,610.0,637.0,611.0,637.0,4100
2012-04-15,637.0,688.0,649.0,687.0,3040
2012-04-16,687.0,700.0,700.0,700.0,10
2012-04-17,700.0,770.0,657.0,680.0,10410
2012-04-18,680.0,745.0,658.0,726.0,6290
2012-04-19,726.0,749.0,720.0,735.0,4230
2012-04-22,735.0,769.0,740.0,766.0,6270
2012-04-24,766.0,827.0,781.0,827.0,590
2012-04-25,827.0,909.0,843.0,909.0,1660
2012-04-26,909.0,948.0,860.0,896.0,16192
2012-04-29,896.0,904.0,861.0,888.0,11728
2012-04-30,888.0,880.0,845.0,851.0,5692
2012-05-02,851.0,834.0,766.0,771.0,4996
2012-05-03,771.0,786.0,786.0,786.0,12
2012-05-07,786.0,833.0,801.0,833.0,126
2012-05-08,833.0,901.0,849.0,900.0,10080
2012-05-09,900.0,900.0,856.0,874.0,9050
2012-05-10,874.0,867.0,827.0,857.0,7862
2012-05-13,857.0,848.0,799.0,812.0,4768
2012-05-14,812.0,796.0,761.0,766.0,7552
2012-05-15,766.0,842.0,781.0,842.0,4918
2012-05-16,842.0,875.0,858.0,875.0,40
2012-05-17,875.0,950.0,860.0,886.0,12500
2012-05-20,886.0,881.0,840.0,870.0,7492
2012-05-21,870.0,890.0,839.0,885.0,6120
2012-05-22,885.0,877.0,830.0,866.0,7062
2012-05-23,866.0,849.0,806.0,815.0,5506
2012-05-24,815.0,859.0,805.0,850.0,6274
2012-05-27,850.0,888.0,860.0,881.0,9076
2012-05-29,881.0,864.0,793.0,793.0,260
2012-05-30,793.0,778.0,714.0,714.0,14732
2012-05-31,714.0,760.0,674.0,740.0,9490
2012-06-03,740.0,825.0,754.0,818.0,14662
2012-06-04,818.0,825.0,765.0,793.0,7772
2012-06-05,793.0,790.0,760.0,777.0,4222
2012-06-06,777.0,777.0,761.0,770.0,3270
2012-06-07,770.0,791.0,761.0,780.0,4402
