time,open,high,low,close,volume
2012-01-01,498.0,489.0,489.0,489.0,50
2012-01-08,489.0,517.0,498.0,507.0,107
2012-01-09,507.0,517.0,517.0,517.0,12
2012-01-10,517.0,532.0,522.0,532.0,40
2012-01-23,532.0,562.0,541.0,552.0,127
2012-01-26,552.0,563.0,563.0,563.0,15
2012-01-29,563.0,563.0,563.0,563.0,62
2012-01-31,563.0,574.0,563.0,574.0,25
2012-02-01,574.0,574.0,574.0,574.0,50
2012-02-12,574.0,563.0,563.0,563.0,52
2012-02-15,563.0,596.0,574.0,596.0,104
2012-02-21,596.0,610.0,607.0,610.0,43
2012-02-23,610.0,620.0,620.0,620.0,20
2012-02-26,620.0,644.0,632.0,644.0,46
2012-02-28,644.0,669.0,656.0,669.0,70
2012-03-04,669.0,670.0,670.0,670.0,10
2012-03-06,670.0,675.0,675.0,675.0,62
2012-03-11,675.0,675.0,675.0,675.0,126
2012-03-15,675.0,682.0,682.0,682.0,15
2012-03-20,682.0,682.0,670.0,677.0,2063
2012-03-21,677.0,675.0,670.0,675.0,110
2012-03-25,675.0,680.0,670.0,670.0,71
2012-03-29,670.0,657.0,632.0,640.0,449
2012-04-01,640.0,628.0,628.0,628.0,40
2012-04-02,628.0,616.0,616.0,616.0,52
2012-04-05,616.0,604.0,604.0,604.0,156
2012-04-09,604.0,593.0,593.0,593.0,40
2012-04-12,593.0,600.0,600.0,600.0,45
2012-05-02,600.0,591.0,590.0,590.0,198
2012-05-08,590.0,592.0,591.0,592.0,144
2012-05-09,592.0,603.0,603.0,603.0,40
2012-05-10,603.0,615.0,615.0,615.0,38
2012-05-21,615.0,627.0,615.0,627.0,360
2012-05-22,627.0,627.0,627.0,627.0,160
2012-05-24,627.0,639.0,639.0,639.0,40
2012-05-30,639.0,630.0,630.0,630.0,40
2012-06-04,630.0,625.0,620.0,623.0,220
2012-06-05,623.0,635.0,620.0,630.0,412
2012-06-06,630.0,618.0,618.0,618.0,72
2012-06-11,618.0,620.0,620.0,620.0,48
2012-06-12,620.0,630.0,620.0,630.0,29
2012-06-13,630.0,640.0,630.0,640.0,133
2012-06-17,640.0,678.0,652.0,678.0,71
2012-06-18,678.0,691.0,691.0,691.0,16
2012-06-19,691.0,691.0,691.0,691.0,30
2012-06-20,691.0,756.0,704.0,756.0,538
2012-07-04,756.0,560.0,560.0,560.0,100
2012-07-05,560.0,576.0,555.0,576.0,251
2012-07-08,576.0,587.0,587.0,587.0,10
2012-07-09,587.0,576.0,555.0,555.0,122
2012-07-11,555.0,566.0,566.0,566.0,25
2012-07-12,566.0,577.0,566.0,566.0,28
2012-07-18,566.0,570.0,570.0,570.0,34
2012-07-25,570.0,581.0,581.0,581.0,10
2012-07-30,581.0,592.0,592.0,592.0,31
2012-08-23,592.0,603.0,603.0,603.0,34
2012-08-27,603.0,615.0,615.0,615.0,10
2012-09-09,615.0,627.0,627.0,627.0,40
2012-09-10,627.0,677.0,639.0,677.0,160
2012-09-11,677.0,703.0,690.0,703.0,160
2012-09-12,703.0,745.0,717.0,745.0,35
2012-09-13,745.0,759.0,759.0,759.0,40
2012-09-19,759.0,774.0,759.0,774.0,186
2012-09-20,774.0,789.0,789.0,789.0,40
2012-09-23,789.0,851.0,804.0,851.0,225
2012-09-24,851.0,897.0,855.0,880.0,184
2012-09-25,880.0,913.0,897.0,900.0,340
2012-09-26,900.0,885.0,882.0,885.0,255
2012-09-30,885.0,885.0,870.0,870.0,80
2012-10-02,870.0,853.0,853.0,853.0,40
2012-10-03,853.0,836.0,820.0,820.0,184
2012-10-04,820.0,804.0,804.0,804.0,225
2012-10-07,804.0,837.0,820.0,837.0,121
2012-10-08,837.0,870.0,840.0,870.0,180
2012-10-09,870.0,880.0,863.0,863.0,49
2012-10-10,863.0,880.0,865.0,880.0,115
2012-10-18,880.0,880.0,880.0,880.0,40
2012-10-30,880.0,887.0,870.0,887.0,88
2012-10-31,887.0,915.0,899.0,915.0,50
2012-11-01,915.0,918.0,900.0,918.0,45
2012-11-04,918.0,918.0,910.0,910.0,137
2012-11-05,910.0,940.0,928.0,940.0,61
2012-11-07,940.0,980.0,958.0,980.0,197
2012-11-12,980.0,1004.0,985.0,985.0,250
2012-11-20,985.0,1003.0,1003.0,1003.0,10
2012-11-21,1003.0,1023.0,1003.0,1003.0,303
2012-11-22,1003.0,1003.0,1003.0,1003.0,40
2012-11-28,1003.0,1020.0,1020.0,1020.0,31
2012-11-29,1020.0,1003.0,980.0,980.0,190
2012-12-13,980.0,1000.0,1000.0,1000.0,54
2012-12-16,1000.0,1000.0,1000.0,1000.0,60
2012-12-17,1000.0,1080.0,1020.0,1040.0,378
2012-12-19,1040.0,1144.0,1060.0,1144.0,138
2012-12-20,1144.0,1258.0,1166.0,1258.0,354
2012-12-23,1258.0,1305.0,1280.0,1305.0,593
2012-12-26,1305.0,1428.0,1331.0,1428.0,100
2012-12-27,1428.0,1440.0,1400.0,1440.0,189
2012-12-31,1440.0,1480.0,1451.0,1451.0,31
2013-01-01,1451.0,1426.0,1400.0,1400.0,153
2013-01-02,1400.0,1420.0,1392.0,1414.0,1053
2013-01-03,1414.0,1455.0,1430.0,1446.0,433
2013-01-06,1446.0,1535.0,1446.0,1535.0,660
2013-01-07,1535.0,1688.0,1560.0,1661.0,604
2013-01-08,1661.0,1636.0,1635.0,1635.0,213
2013-01-09,1635.0,1667.0,1667.0,1667.0,10
2013-01-13,1667.0,1634.0,1602.0,1602.0,21
2013-01-15,1602.0,1570.0,1442.0,1442.0,98
2013-01-16,1442.0,1442.0,1315.0,1440.0,900
2013-01-17,1440.0,1417.0,1380.0,1410.0,748
2013-01-21,1410.0,1382.0,1382.0,1382.0,109
2013-01-22,1382.0,1433.0,1405.0,1433.0,509
2013-01-23,1433.0,1461.0,1449.0,1449.0,170
2013-01-24,1449.0,1449.0,1449.0,1449.0,40
2013-01-27,1449.0,1477.0,1448.0,1448.0,39
2013-01-28,1448.0,1420.0,1322.0,1340.0,1083
2013-01-30,1340.0,1328.0,1303.0,1306.0,324
2013-01-31,1306.0,1315.0,1300.0,1315.0,211
2013-02-03,1315.0,1332.0,1306.0,1332.0,133
2013-02-04,1332.0,1340.0,1332.0,1332.0,50
2013-02-05,1332.0,1340.0,1315.0,1315.0,81
2013-02-06,1315.0,1300.0,1300.0,1300.0,67
2013-02-10,1300.0,1320.0,1300.0,1320.0,211
2013-02-12,1320.0,1350.0,1320.0,1350.0,322
2013-02-13,1350.0,1409.0,1350.0,1407.0,236
2013-02-14,1407.0,1390.0,1390.0,1390.0,84
2013-02-17,1390.0,1417.0,1417.0,1417.0,10
2013-02-19,1417.0,1502.0,1445.0,1472.0,394
2013-02-20,1472.0,1459.0,1426.0,1426.0,301
2013-02-24,1426.0,1401.0,1390.0,1401.0,220
2013-02-25,1401.0,1400.0,1400.0,1400.0,85
2013-02-27,1400.0,1399.0,1394.0,1394.0,90
2013-02-28,1394.0,1400.0,1394.0,1400.0,312
2013-03-04,1400.0,1400.0,1395.0,1395.0,159
2013-03-06,1395.0,1405.0,1405.0,1405.0,100
2013-03-07,1405.0,1377.0,1377.0,1377.0,88
2013-03-11,1377.0,1404.0,1404.0,1404.0,10
2013-03-13,1404.0,1432.0,1404.0,1415.0,574
2013-03-14,1415.0,1446.0,1440.0,1440.0,301
2013-03-17,1440.0,1445.0,1420.0,1440.0,357
2013-03-18,1440.0,1440.0,1412.0,1412.0,95
2013-03-20,1412.0,1384.0,1384.0,1384.0,40
2013-03-21,1384.0,1375.0,1375.0,1375.0,477
2013-03-24,1375.0,1399.0,1399.0,1399.0,54
2013-03-25,1399.0,1410.0,1377.0,1410.0,747
2013-03-27,1410.0,1430.0,1386.0,1415.0,287
2013-03-28,1415.0,1425.0,1415.0,1415.0,239
2013-03-31,1415.0,1430.0,1419.0,1421.0,474
2013-04-01,1421.0,1420.0,1420.0,1420.0,10
2013-04-02,1420.0,1410.0,1410.0,1410.0,52
2013-04-03,1410.0,1414.0,1376.0,1400.0,269
2013-04-04,1400.0,1414.0,1400.0,1414.0,74
2013-04-07,1414.0,1442.0,1414.0,1433.0,423
2013-04-08,1433.0,1440.0,1430.0,1430.0,556
2013-04-09,1430.0,1440.0,1438.0,1438.0,103
2013-04-11,1438.0,1445.0,1430.0,1430.0,458
2013-04-15,1430.0,1450.0,1430.0,1450.0,553
2013-04-18,1450.0,1421.0,1421.0,1421.0,54
2013-04-22,1421.0,1400.0,1400.0,1400.0,40
2013-04-28,1400.0,1390.0,1370.0,1370.0,270
2013-04-29,1370.0,1350.0,1343.0,1350.0,280
2013-04-30,1350.0,1325.0,1323.0,1323.0,20
2013-05-02,1323.0,1315.0,1300.0,1300.0,170
2013-05-05,1300.0,1326.0,1300.0,1300.0,95
2013-05-06,1300.0,1302.0,1300.0,1300.0,198
2013-05-08,1300.0,1300.0,1300.0,1300.0,55
2013-05-09,1300.0,1295.0,1295.0,1295.0,54
2013-05-12,1295.0,1295.0,1295.0,1295.0,54
2013-05-13,1295.0,1302.0,1300.0,1302.0,104
2013-05-14,1302.0,1328.0,1302.0,1328.0,245
2013-05-15,1328.0,1345.0,1321.0,1326.0,87
2013-05-16,1326.0,1325.0,1300.0,1304.0,127
2013-05-19,1304.0,1330.0,1330.0,1330.0,36
2013-05-20,1330.0,1366.0,1356.0,1366.0,522
2013-05-21,1366.0,1400.0,1375.0,1380.0,318
2013-05-22,1380.0,1415.0,1407.0,1415.0,128
2013-05-23,1415.0,1428.0,1400.0,1428.0,400
2013-05-26,1428.0,1460.0,1428.0,1460.0,266
2013-05-27,1460.0,1500.0,1460.0,1500.0,272
2013-05-28,1500.0,1590.0,1528.0,1590.0,859
2013-05-30,1590.0,1610.0,1575.0,1575.0,116
2013-06-02,1575.0,1560.0,1544.0,1560.0,20
2013-06-03,1560.0,1540.0,1540.0,1540.0,14
2013-06-04,1540.0,1569.0,1540.0,1540.0,25
2013-06-05,1540.0,1510.0,1471.0,1471.0,331
2013-06-06,1471.0,1500.0,1450.0,1490.0,377
2013-06-09,1490.0,1505.0,1481.0,1505.0,374
2013-06-10,1505.0,1510.0,1510.0,1510.0,30
