time,open,high,low,close,volume
2012-09-09,514.0,175.0,163.0,175.0,50
2012-09-10,175.0,192.0,178.0,192.0,254
2012-09-11,192.0,211.0,195.0,211.0,376
2012-09-12,211.0,232.0,215.0,232.0,1131
2012-09-13,232.0,255.0,236.0,255.0,27430
2012-09-16,255.0,260.0,243.0,260.0,9406
2012-09-17,260.0,270.0,253.0,270.0,6296
2012-09-18,270.0,277.0,260.0,275.0,8686
2012-09-19,275.0,271.0,261.0,270.0,4336
2012-09-20,270.0,267.0,260.0,260.0,11416
2012-09-23,260.0,255.0,245.0,247.0,5384
2012-09-24,247.0,250.0,245.0,248.0,9768
2012-09-25,248.0,249.0,244.0,248.0,4830
2012-09-26,248.0,249.0,244.0,247.0,7227
2012-09-27,247.0,249.0,240.0,245.0,4600
2012-09-30,245.0,247.0,238.0,244.0,7236
2012-10-01,244.0,245.0,240.0,243.0,5064
2012-10-02,243.0,248.0,242.0,248.0,2854
2012-10-03,248.0,251.0,244.0,248.0,3424
2012-10-04,248.0,250.0,244.0,250.0,3162
2012-10-07,250.0,255.0,248.0,252.0,6485
2012-10-08,252.0,253.0,245.0,252.0,7223
2012-10-09,252.0,256.0,250.0,256.0,3945
2012-10-10,256.0,256.0,251.0,253.0,1964
2012-10-11,253.0,252.0,250.0,251.0,3846
2012-10-14,251.0,254.0,251.0,254.0,1029
2012-10-15,254.0,254.0,249.0,252.0,1589
2012-10-17,252.0,260.0,247.0,260.0,2975
2012-10-18,260.0,266.0,260.0,266.0,3263
2012-10-30,266.0,275.0,263.0,270.0,2478
2012-10-31,270.0,285.0,275.0,278.0,4291
2012-11-01,278.0,287.0,269.0,287.0,2017
2012-11-04,287.0,301.0,275.0,296.0,16234
2012-11-05,296.0,307.0,283.0,297.0,12136
2012-11-06,297.0,304.0,288.0,304.0,4876
2012-11-07,304.0,310.0,300.0,310.0,8988
2012-11-08,310.0,330.0,306.0,308.0,9282
2012-11-11,308.0,324.0,289.0,293.0,9640
2012-11-12,293.0,315.0,293.0,313.0,3044
2012-11-18,313.0,326.0,310.0,318.0,2200
2012-11-20,318.0,335.0,316.0,333.0,7312
2012-11-21,333.0,344.0,321.0,343.0,10747
2012-11-22,343.0,344.0,330.0,342.0,9816
2012-11-25,342.0,370.0,343.0,352.0,13675
2012-11-26,352.0,359.0,334.0,359.0,130815
2012-11-27,359.0,369.0,345.0,366.0,15772
2012-11-28,366.0,385.0,368.0,380.0,17520
2012-11-29,380.0,395.0,373.0,380.0,12950
2012-12-02,380.0,380.0,366.0,370.0,9600
2012-12-03,370.0,370.0,355.0,364.0,5403
2012-12-04,364.0,382.0,368.0,380.0,11242
2012-12-05,380.0,400.0,379.0,400.0,14715
2012-12-06,400.0,404.0,385.0,404.0,29266
2012-12-09,404.0,398.0,383.0,387.0,12055
2012-12-10,387.0,393.0,384.0,389.0,9827
2012-12-11,389.0,392.0,388.0,390.0,12681
2012-12-13,390.0,397.0,393.0,395.0,8951
2012-12-16,395.0,430.0,396.0,429.0,27653
2012-12-17,429.0,447.0,430.0,438.0,36008
2012-12-18,438.0,436.0,415.0,436.0,13364
2012-12-19,436.0,440.0,431.0,438.0,6949
2012-12-20,438.0,438.0,425.0,425.0,8162
2012-12-23,425.0,433.0,420.0,424.0,13684
2012-12-24,424.0,443.0,424.0,439.0,15165
2012-12-26,439.0,450.0,420.0,449.0,55877
2012-12-27,449.0,445.0,430.0,433.0,38430
2012-12-31,433.0,426.0,411.0,426.0,5621
2013-01-01,426.0,418.0,410.0,411.0,1508
2013-01-02,411.0,418.0,396.0,411.0,6761
2013-01-03,411.0,420.0,412.0,415.0,8071
2013-01-06,415.0,414.0,405.0,410.0,6373
2013-01-07,410.0,407.0,402.0,404.0,4396
2013-01-08,404.0,407.0,397.0,402.0,2702
2013-01-09,402.0,401.0,397.0,399.0,2169
2013-01-10,399.0,410.0,395.0,410.0,5251
2013-01-13,410.0,404.0,394.0,400.0,7622
2013-01-15,400.0,427.0,397.0,426.0,7416
2013-01-16,426.0,425.0,410.0,413.0,3443
2013-01-17,413.0,419.0,400.0,406.0,6009
2013-01-20,406.0,400.0,382.0,396.0,8069
2013-01-21,396.0,411.0,392.0,402.0,6102
2013-01-22,402.0,414.0,401.0,407.0,17050
2013-01-23,407.0,413.0,400.0,406.0,19911
2013-01-24,406.0,405.0,400.0,400.0,8814
2013-01-27,400.0,420.0,404.0,408.0,15069
2013-01-28,408.0,410.0,402.0,410.0,8533
2013-01-30,410.0,407.0,400.0,405.0,10470
2013-01-31,405.0,405.0,400.0,405.0,4602
2013-02-03,405.0,418.0,408.0,414.0,7579
2013-02-04,414.0,424.0,409.0,424.0,6088
2013-02-05,424.0,421.0,413.0,416.0,2858
2013-02-06,416.0,417.0,410.0,417.0,2049
2013-02-07,417.0,416.0,410.0,416.0,5440
2013-02-10,416.0,415.0,409.0,415.0,8687
2013-02-12,415.0,438.0,415.0,438.0,19909
2013-02-13,438.0,438.0,418.0,438.0,9073
2013-02-14,438.0,448.0,430.0,441.0,18055
2013-02-17,441.0,485.0,449.0,484.0,1848
2013-02-19,484.0,532.0,469.0,470.0,28140
2013-02-20,470.0,468.0,444.0,465.0,18130
2013-02-21,465.0,485.0,450.0,468.0,13474
2013-02-24,468.0,467.0,457.0,460.0,12103
2013-02-25,460.0,485.0,466.0,484.0,21953
2013-02-26,484.0,493.0,480.0,486.0,16756
2013-02-27,486.0,490.0,475.0,484.0,27729
2013-02-28,484.0,490.0,479.0,488.0,22055
2013-03-03,488.0,500.0,488.0,499.0,16091
2013-03-04,499.0,501.0,482.0,482.0,27727
2013-03-05,482.0,500.0,490.0,491.0,12422
2013-03-06,491.0,501.0,484.0,499.0,12909
2013-03-07,499.0,500.0,475.0,495.0,7774
2013-03-11,495.0,508.0,496.0,500.0,8775
2013-03-13,500.0,517.0,503.0,517.0,11206
2013-03-14,517.0,557.0,515.0,530.0,19147
2013-03-17,530.0,536.0,512.0,524.0,16582
2013-03-18,524.0,534.0,511.0,526.0,16018
2013-03-19,526.0,533.0,511.0,521.0,13086
2013-03-20,521.0,526.0,510.0,514.0,16270
2013-03-21,514.0,514.0,500.0,506.0,13949
2013-03-24,506.0,505.0,497.0,500.0,8985
2013-03-25,500.0,508.0,492.0,504.0,10422
2013-03-27,504.0,501.0,497.0,499.0,5051
2013-03-28,499.0,500.0,491.0,498.0,6050
2013-03-31,498.0,492.0,480.0,482.0,12315
2013-04-01,482.0,502.0,473.0,502.0,16704
2013-04-02,502.0,510.0,490.0,507.0,8638
2013-04-03,507.0,506.0,497.0,500.0,5659
2013-04-04,500.0,501.0,483.0,497.0,4475
2013-04-07,497.0,501.0,493.0,499.0,4584
2013-04-08,499.0,503.0,496.0,502.0,9152
2013-04-09,502.0,516.0,495.0,516.0,9482
2013-04-11,516.0,525.0,510.0,513.0,10235
2013-04-15,513.0,526.0,515.0,515.0,10538
2013-04-16,515.0,520.0,507.0,520.0,4194
2013-04-17,520.0,519.0,510.0,517.0,9228
2013-04-18,517.0,513.0,506.0,508.0,8169
2013-04-21,508.0,518.0,490.0,495.0,15641
2013-04-22,495.0,493.0,475.0,493.0,10553
2013-04-23,493.0,505.0,493.0,496.0,9788
2013-04-25,496.0,504.0,486.0,488.0,2497
2013-04-28,488.0,493.0,479.0,480.0,9870
2013-04-29,480.0,490.0,479.0,486.0,5471
2013-04-30,486.0,483.0,479.0,481.0,6953
2013-05-02,481.0,489.0,467.0,485.0,3369
2013-05-05,485.0,478.0,436.0,465.0,5675
2013-05-06,465.0,456.0,419.0,435.0,9322
2013-05-07,435.0,462.0,431.0,455.0,17062
2013-05-08,455.0,464.0,443.0,444.0,4781
2013-05-09,444.0,452.0,440.0,446.0,2146
2013-05-12,446.0,448.0,435.0,448.0,1421
2013-05-13,448.0,447.0,425.0,447.0,9340
2013-05-14,447.0,442.0,426.0,432.0,36011
2013-08-05,432.0,475.0,440.0,475.0,288
2013-08-06,475.0,514.0,475.0,505.0,51758
2013-08-07,505.0,508.0,486.0,489.0,21531
2013-08-08,489.0,490.0,471.0,475.0,9980
2013-08-11,475.0,475.0,451.0,459.0,7270
2013-08-12,459.0,464.0,450.0,451.0,8484
2013-08-13,451.0,455.0,447.0,449.0,7911
2013-08-14,449.0,449.0,441.0,444.0,7899
2013-08-15,444.0,451.0,425.0,430.0,7007
2013-08-18,430.0,447.0,422.0,441.0,23584
2013-08-19,441.0,451.0,432.0,443.0,11651
2013-08-20,443.0,448.0,437.0,448.0,15091
2013-08-25,448.0,445.0,432.0,435.0,3871
2013-08-26,435.0,435.0,427.0,428.0,4468
2013-08-27,428.0,445.0,421.0,425.0,37090
2013-08-29,425.0,435.0,422.0,429.0,5418
2013-09-01,429.0,435.0,428.0,433.0,3549
2013-09-02,433.0,433.0,423.0,430.0,6230
2013-09-03,430.0,434.0,428.0,431.0,5877
2013-09-04,431.0,430.0,424.0,430.0,6439
2013-09-05,430.0,427.0,421.0,422.0,6760
2013-09-08,422.0,427.0,423.0,423.0,4047
2013-09-09,423.0,435.0,425.0,430.0,5365
2013-09-10,430.0,425.0,420.0,420.0,6261
2013-09-11,420.0,429.0,415.0,420.0,6957
2013-09-12,420.0,427.0,419.0,421.0,7907
2013-09-15,421.0,423.0,405.0,409.0,4223
2013-09-16,409.0,410.0,401.0,407.0,5013
2013-09-17,407.0,407.0,398.0,398.0,8215
2013-09-19,398.0,425.0,396.0,420.0,5539
2013-09-22,420.0,412.0,400.0,404.0,6710
2013-09-23,404.0,411.0,399.0,406.0,6332
2013-09-24,406.0,410.0,400.0,402.0,4881
2013-09-25,402.0,407.0,395.0,401.0,5858
2013-09-26,401.0,405.0,400.0,400.0,4898
2013-09-29,400.0,401.0,395.0,400.0,2314
2013-09-30,400.0,400.0,391.0,397.0,4273
2013-10-01,397.0,401.0,393.0,400.0,2062
2013-10-02,400.0,400.0,392.0,398.0,2553
2013-10-03,398.0,399.0,393.0,399.0,2521
2013-10-06,399.0,401.0,395.0,400.0,1414
