time,symbol,open,close,high,low,volume,category
2024-01-08,HRL,309.2,340.1,340.1,309.2,30866,stock
2024-01-09,HRL,346.9,374.1,374.1,346.9,10699,stock
2024-01-10,HRL,381.5,411.5,411.5,381.5,17004,stock
2024-01-11,HRL,419.7,452.6,452.6,419.7,37445,stock
2024-01-14,HRL,461.6,497.8,497.8,461.6,45684,stock
2024-01-16,HRL,507.7,547.5,547.5,507.7,70340,stock
2024-01-17,HRL,558.4,602.2,602.2,558.4,1093487,stock
2024-01-18,HRL,614.2,653.0,661.5,558.0,3044702,stock
2024-01-21,HRL,666.0,681.0,709.0,663.0,827738,stock
2024-01-22,HRL,667.4,646.0,675.0,641.0,1196355,stock
2024-01-23,HRL,645.0,659.9,681.0,635.0,841022,stock
2024-01-24,HRL,660.0,657.0,674.0,655.0,379833,stock
2024-01-25,HRL,657.0,646.8,661.0,645.1,439859,stock
2024-01-28,HRL,650.0,645.0,659.6,635.1,521843,stock
2024-01-29,HRL,645.0,669.0,684.0,645.0,900511,stock
2024-01-30,HRL,682.3,709.6,721.0,675.8,1070172,stock
2024-01-31,HRL,723.0,714.6,728.0,698.0,889868,stock
2024-02-01,HRL,720.0,695.1,722.1,695.0,769799,stock
2024-02-04,HRL,695.1,688.1,700.0,680.0,486325,stock
2024-02-05,HRL,690.0,685.5,700.0,685.1,269982,stock
2024-02-06,HRL,685.5,704.9,708.0,685.5,481428,stock
2024-02-07,HRL,700.0,696.1,714.0,695.2,354258,stock
2024-02-11,HRL,702.7,694.9,731.0,691.0,887170,stock
2024-02-12,HRL,703.0,692.1,704.0,690.0,331525,stock
2024-02-13,HRL,692.1,672.0,692.1,672.0,478560,stock
2024-02-14,HRL,680.0,668.1,680.0,666.5,256176,stock
2024-02-15,HRL,670.0,655.7,674.0,654.8,345592,stock
2024-02-18,HRL,655.0,645.1,666.0,640.1,632757,stock
2024-02-20,HRL,621.0,650.0,652.5,620.0,493093,stock
2024-02-21,HRL,650.0,633.2,662.9,633.1,173537,stock
2024-02-22,HRL,633.2,624.0,637.9,617.6,237439,stock
2024-02-25,HRL,624.0,607.6,632.0,607.5,179714,stock
2024-02-26,HRL,604.9,616.0,616.8,604.9,126929,stock
2024-02-27,HRL,616.0,610.0,620.0,606.0,104494,stock
2024-02-28,HRL,609.0,615.0,620.0,609.0,131080,stock
2024-02-29,HRL,615.0,605.4,620.0,604.9,131730,stock
2024-03-03,HRL,605.4,595.6,613.0,595.2,138436,stock
2024-03-04,HRL,607.5,622.0,652.0,607.5,46976,stock
2024-03-05,HRL,630.0,613.5,633.9,610.0,206392,stock
2024-03-06,HRL,613.0,624.9,631.0,608.1,209585,stock
2024-03-07,HRL,630.0,624.0,634.0,621.0,104209,stock
2024-03-10,HRL,624.0,620.0,630.0,618.0,114706,stock
2024-03-12,HRL,632.4,635.0,635.5,620.0,249989,stock
2024-03-13,HRL,647.7,642.0,650.0,631.1,319600,stock
2024-03-14,HRL,638.6,630.5,644.0,628.0,155008,stock
2024-03-17,HRL,630.0,620.5,635.0,619.0,162925,stock
2024-03-18,HRL,621.0,621.0,630.2,618.0,89790,stock
2024-03-19,HRL,621.0,618.0,629.9,615.0,138176,stock
2024-03-20,HRL,618.0,614.1,627.0,609.0,120125,stock
2024-03-21,HRL,614.1,606.5,618.0,605.0,157312,stock
2024-03-25,HRL,607.0,608.9,613.8,602.0,103522,stock
2024-03-26,HRL,606.0,608.0,613.4,606.0,104199,stock
2024-03-27,HRL,608.0,602.0,611.7,597.0,117823,stock
2024-03-28,HRL,602.0,604.1,610.0,601.0,65655,stock
2024-03-31,HRL,604.0,600.9,607.0,598.5,103662,stock
2024-04-01,HRL,600.0,596.8,603.0,596.1,83177,stock
2024-04-02,HRL,608.7,595.2,608.7,595.1,64412,stock
2024-04-03,HRL,585.0,595.0,609.0,585.0,73550,stock
2024-04-04,HRL,595.0,590.5,596.5,590.0,76697,stock
2024-04-07,HRL,590.0,596.0,598.9,588.0,106557,stock
2024-04-09,HRL,596.0,623.9,624.9,596.0,250900,stock
2024-04-10,HRL,623.0,610.2,634.0,610.0,202157,stock
2024-04-14,HRL,610.2,613.2,618.0,606.2,121619,stock
2024-04-15,HRL,614.0,606.5,620.0,606.2,102787,stock
2024-04-16,HRL,606.0,605.1,607.0,598.2,71361,stock
2024-04-18,HRL,598.2,600.0,606.0,588.8,88713,stock
2024-04-21,HRL,595.0,601.0,607.0,590.0,92557,stock
2024-04-22,HRL,601.0,595.0,607.0,595.0,50314,stock
2024-04-24,HRL,599.9,592.1,600.1,590.0,68856,stock
2024-04-25,HRL,592.2,592.0,596.3,590.7,67940,stock
2024-04-28,HRL,593.0,595.6,600.0,588.0,73813,stock
2024-04-29,HRL,606.0,589.0,606.0,588.0,49435,stock
2024-04-30,HRL,589.0,590.0,599.7,585.0,104703,stock
2024-05-02,HRL,600.0,586.0,600.0,585.6,94797,stock
2024-05-05,HRL,580.0,592.5,596.9,580.0,97712,stock
2024-05-06,HRL,589.0,575.1,597.0,575.1,114105,stock
2024-05-07,HRL,574.0,569.0,581.5,565.0,75130,stock
2024-05-08,HRL,569.0,562.0,578.0,561.0,52470,stock
2024-05-09,HRL,564.2,560.0,569.0,553.0,91251,stock
2024-05-12,HRL,571.2,567.0,582.0,566.0,96004,stock
2024-05-13,HRL,567.0,565.0,577.9,562.1,63596,stock
2024-05-14,HRL,564.0,570.1,574.0,563.0,59209,stock
2024-05-15,HRL,575.5,563.1,580.0,563.1,73511,stock
2024-05-16,HRL,563.0,556.6,566.1,556.1,94013,stock
2024-05-19,HRL,567.7,582.1,585.0,560.0,165624,stock
2024-05-20,HRL,581.0,583.0,592.0,579.0,157780,stock
2024-05-21,HRL,584.0,585.7,588.5,575.0,97376,stock
2024-05-22,HRL,597.4,595.3,597.4,580.0,188824,stock
2024-05-26,HRL,585.0,584.3,598.0,584.0,77941,stock
2024-05-27,HRL,572.7,585.1,595.8,572.7,108222,stock
2024-05-29,HRL,588.0,578.1,596.0,578.0,76815,stock
2024-05-30,HRL,578.1,573.7,586.0,573.7,74206,stock
2024-06-02,HRL,567.1,580.0,582.0,567.1,78729,stock
2024-06-03,HRL,580.0,572.1,581.9,571.2,43567,stock
2024-06-04,HRL,573.0,570.7,575.0,570.1,47461,stock
2024-06-05,HRL,559.4,568.1,571.9,559.4,69718,stock
2024-06-06,HRL,568.0,561.8,572.9,561.1,79236,stock
2024-06-09,HRL,561.8,568.7,570.5,560.2,95217,stock
2024-06-10,HRL,570.0,572.7,574.0,565.0,78249,stock
2024-06-11,HRL,575.0,570.0,577.0,566.1,85292,stock
2024-06-12,HRL,569.1,568.0,575.0,568.0,74280,stock
2024-06-13,HRL,579.3,557.5,579.3,556.5,116068,stock
2024-06-16,HRL,560.0,552.0,560.0,550.0,145846,stock
2024-06-18,HRL,550.0,552.0,558.0,550.0,75407,stock
2024-06-19,HRL,555.0,550.6,559.0,550.0,63579,stock
2024-06-20,HRL,550.0,543.5,555.0,542.3,73496,stock
2024-06-23,HRL,543.5,547.0,563.0,538.0,140697,stock
2024-06-24,HRL,536.1,540.0,559.0,526.0,131314,stock
2024-06-25,HRL,540.0,543.0,550.0,540.0,51087,stock
2024-06-26,HRL,545.0,535.5,550.0,535.0,57043,stock
2024-06-27,HRL,524.8,553.0,561.0,512.0,402499,stock
2024-06-30,HRL,553.0,539.7,554.9,539.7,82472,stock
2024-07-01,HRL,550.4,538.0,550.4,533.0,107247,stock
2024-07-02,HRL,548.7,552.0,575.0,544.0,190209,stock
2024-07-03,HRL,552.0,541.1,555.0,540.0,127474,stock
2024-07-04,HRL,545.0,547.3,553.0,542.0,147882,stock
2024-07-07,HRL,555.0,565.0,569.0,547.3,276279,stock
2024-07-08,HRL,565.0,562.0,570.0,559.0,160402,stock
2024-07-09,HRL,555.1,564.8,569.0,555.1,97749,stock
2024-07-10,HRL,576.0,569.9,576.0,563.0,145963,stock
2024-07-11,HRL,569.0,577.9,579.9,569.0,222756,stock
2024-07-14,HRL,589.4,589.0,611.0,580.0,256783,stock
2024-07-15,HRL,599.0,580.0,599.0,580.0,225401,stock
