time,symbol,open,close,high,low,volume,category
2012-01-01,NABIL,873.0,879.0,879.0,851.0,799,stock
2012-01-02,NABIL,879.0,900.0,913.0,882.0,1002,stock
2012-01-03,NABIL,900.0,892.0,916.0,892.0,2653,stock
2012-01-04,NABIL,892.0,865.0,875.0,842.0,490,stock
2012-01-05,NABIL,865.0,858.0,875.0,858.0,121,stock
2012-01-08,NABIL,858.0,830.0,845.0,814.0,4835,stock
2012-01-09,NABIL,830.0,846.0,846.0,830.0,195,stock
2012-01-10,NABIL,846.0,845.0,862.0,845.0,658,stock
2012-01-11,NABIL,845.0,874.0,874.0,845.0,969,stock
2012-01-12,NABIL,874.0,904.0,904.0,860.0,773,stock
2012-01-16,NABIL,904.0,879.0,886.0,867.0,235,stock
2012-01-17,NABIL,879.0,861.0,865.0,820.0,2244,stock
2012-01-18,NABIL,861.0,882.0,882.0,830.0,1617,stock
2012-01-22,NABIL,882.0,836.0,870.0,836.0,1273,stock
2012-01-23,NABIL,836.0,835.0,843.0,826.0,1255,stock
2012-01-25,NABIL,835.0,840.0,840.0,825.0,442,stock
2012-01-26,NABIL,840.0,830.0,830.0,826.0,408,stock
2012-01-29,NABIL,830.0,830.0,830.0,823.0,496,stock
2012-01-31,NABIL,830.0,842.0,845.0,842.0,143,stock
2012-02-01,NABIL,842.0,832.0,840.0,832.0,250,stock
2012-02-02,NABIL,832.0,850.0,850.0,833.0,382,stock
2012-02-05,NABIL,850.0,829.0,840.0,824.0,1035,stock
2012-02-06,NABIL,829.0,824.0,829.0,824.0,545,stock
2012-02-07,NABIL,824.0,830.0,833.0,820.0,816,stock
2012-02-08,NABIL,830.0,841.0,841.0,830.0,187,stock
2012-02-09,NABIL,841.0,840.0,840.0,830.0,437,stock
2012-02-12,NABIL,840.0,843.0,843.0,828.0,1780,stock
2012-02-13,NABIL,843.0,876.0,876.0,832.0,885,stock
2012-02-14,NABIL,876.0,860.0,870.0,860.0,447,stock
2012-02-15,NABIL,860.0,843.0,860.0,843.0,182,stock
2012-02-16,NABIL,843.0,850.0,850.0,833.0,1286,stock
2012-02-21,NABIL,850.0,850.0,850.0,836.0,170,stock
2012-02-23,NABIL,850.0,850.0,850.0,845.0,79,stock
2012-02-26,NABIL,850.0,844.0,856.0,833.0,1025,stock
2012-02-27,NABIL,844.0,847.0,847.0,831.0,1055,stock
2012-02-28,NABIL,847.0,867.0,867.0,845.0,825,stock
2012-02-29,NABIL,867.0,861.0,869.0,860.0,602,stock
2012-03-01,NABIL,861.0,887.0,887.0,865.0,497,stock
2012-03-04,NABIL,887.0,874.0,876.0,870.0,590,stock
2012-03-05,NABIL,874.0,883.0,887.0,866.0,571,stock
2012-03-06,NABIL,883.0,882.0,885.0,875.0,301,stock
2012-03-11,NABIL,882.0,885.0,885.0,868.0,361,stock
2012-03-12,NABIL,885.0,880.0,882.0,880.0,256,stock
2012-03-13,NABIL,880.0,880.0,880.0,863.0,501,stock
2012-03-14,NABIL,880.0,860.0,875.0,860.0,389,stock
2012-03-15,NABIL,860.0,852.0,852.0,836.0,446,stock
2012-03-18,NABIL,852.0,867.0,869.0,850.0,168,stock
2012-03-19,NABIL,867.0,882.0,882.0,853.0,281,stock
2012-03-20,NABIL,882.0,874.0,874.0,847.0,307,stock
2012-03-21,NABIL,874.0,878.0,878.0,850.0,900,stock
2012-03-25,NABIL,878.0,878.0,878.0,845.0,521,stock
2012-03-26,NABIL,878.0,861.0,861.0,861.0,50,stock
2012-03-27,NABIL,861.0,867.0,873.0,850.0,342,stock
2012-03-28,NABIL,867.0,867.0,867.0,850.0,317,stock
2012-03-29,NABIL,867.0,867.0,867.0,850.0,64,stock
2012-04-01,NABIL,867.0,852.0,852.0,835.0,981,stock
2012-04-02,NABIL,852.0,880.0,880.0,852.0,270,stock
2012-04-03,NABIL,880.0,875.0,891.0,867.0,145,stock
2012-04-04,NABIL,875.0,902.0,902.0,878.0,106,stock
2012-04-08,NABIL,902.0,895.0,895.0,879.0,318,stock
2012-04-09,NABIL,895.0,901.0,901.0,884.0,906,stock
2012-04-10,NABIL,901.0,890.0,892.0,890.0,249,stock
2012-04-11,NABIL,890.0,910.0,925.0,885.0,1173,stock
2012-04-12,NABIL,910.0,988.0,988.0,920.0,1316,stock
2012-04-15,NABIL,988.0,1075.0,1075.0,1007.0,1840,stock
2012-04-17,NABIL,1075.0,1000.0,1182.0,994.0,2664,stock
2012-04-18,NABIL,1000.0,1081.0,1081.0,951.0,1741,stock
2012-04-19,NABIL,1081.0,1130.0,1144.0,1078.0,3104,stock
2012-04-22,NABIL,1130.0,1200.0,1200.0,1130.0,3423,stock
2012-04-24,NABIL,1200.0,1320.0,1320.0,1224.0,880,stock
2012-04-25,NABIL,1320.0,1450.0,1452.0,1346.0,3631,stock
2012-04-26,NABIL,1450.0,1550.0,1550.0,1400.0,6246,stock
2012-04-29,NABIL,1550.0,1500.0,1538.0,1461.0,4632,stock
2012-04-30,NABIL,1500.0,1400.0,1470.0,1380.0,2746,stock
2012-05-02,NABIL,1400.0,1260.0,1372.0,1260.0,956,stock
2012-05-03,NABIL,1260.0,1386.0,1386.0,1285.0,522,stock
2012-05-07,NABIL,1386.0,1524.0,1524.0,1413.0,1302,stock
2012-05-08,NABIL,1524.0,1524.0,1585.0,1470.0,4092,stock
2012-05-09,NABIL,1524.0,1459.0,1554.0,1415.0,6781,stock
2012-05-10,NABIL,1459.0,1420.0,1453.0,1387.0,3591,stock
2012-05-13,NABIL,1420.0,1302.0,1392.0,1290.0,1788,stock
2012-05-14,NABIL,1302.0,1219.0,1276.0,1200.0,2577,stock
2012-05-15,NABIL,1219.0,1340.0,1340.0,1219.0,2424,stock
2012-05-16,NABIL,1340.0,1474.0,1474.0,1340.0,1090,stock
2012-05-17,NABIL,1474.0,1450.0,1563.0,1421.0,6367,stock
2012-05-20,NABIL,1450.0,1450.0,1458.0,1390.0,1648,stock
2012-05-21,NABIL,1450.0,1445.0,1460.0,1400.0,3948,stock
2012-05-22,NABIL,1445.0,1438.0,1438.0,1380.0,1664,stock
2012-05-23,NABIL,1438.0,1325.0,1410.0,1325.0,617,stock
2012-05-24,NABIL,1325.0,1369.0,1400.0,1300.0,3006,stock
2012-05-27,NABIL,1369.0,1420.0,1448.0,1372.0,4735,stock
2012-05-29,NABIL,1420.0,1338.0,1392.0,1338.0,30,stock
2012-05-30,NABIL,1338.0,1205.0,1312.0,1205.0,399,stock
2012-05-31,NABIL,1205.0,1200.0,1228.0,1113.0,5417,stock
2012-06-03,NABIL,1200.0,1313.0,1320.0,1210.0,2718,stock
2012-06-04,NABIL,1313.0,1290.0,1313.0,1265.0,2280,stock
2012-06-05,NABIL,1290.0,1242.0,1265.0,1217.0,1088,stock
2012-06-06,NABIL,1242.0,1206.0,1221.0,1190.0,4535,stock
2012-06-07,NABIL,1206.0,1225.0,1258.0,1210.0,1504,stock
2012-06-10,NABIL,1225.0,1205.0,1210.0,1188.0,1572,stock
2012-06-11,NABIL,1205.0,1200.0,1253.0,1200.0,602,stock
2012-06-12,NABIL,1200.0,1210.0,1210.0,1195.0,1025,stock
2012-06-13,NABIL,1210.0,1220.0,1220.0,1201.0,197,stock
