time,symbol,open,close,high,low,volume,category
1997-07-20,NEPSE,173.26,173.26,173.26,173.26,0,index
1997-07-21,NEPSE,173.25,173.25,173.25,173.25,0,index
1997-07-22,NEPSE,173.03,173.03,173.03,173.03,0,index
1997-07-23,NEPSE,173.03,173.03,173.03,173.03,0,index
1997-07-24,NEPSE,172.66,172.66,172.66,172.66,0,index
1997-07-27,NEPSE,173.15,173.15,173.15,173.15,0,index
1997-07-29,NEPSE,172.88,172.88,172.88,172.88,0,index
1997-07-30,NEPSE,172.12,172.12,172.12,172.12,0,index
1997-07-31,NEPSE,171.7,171.7,171.7,171.7,0,index
1997-08-03,NEPSE,171.52,171.52,171.52,171.52,0,index
1997-08-04,NEPSE,171.36,171.36,171.36,171.36,0,index
1997-08-05,NEPSE,171.16,171.16,171.16,171.16,0,index
1997-08-06,NEPSE,171.1,171.1,171.1,171.1,0,index
1997-08-07,NEPSE,171.24,171.24,171.24,171.24,0,index
1997-08-10,NEPSE,170.39,170.39,170.39,170.39,0,index
1997-08-11,NEPSE,169.38,169.38,169.38,169.38,0,index
1997-08-12,NEPSE,169.28,169.28,169.28,169.28,0,index
1997-08-13,NEPSE,169.28,169.28,169.28,169.28,0,index
1997-08-14,NEPSE,169.52,169.52,169.52,169.52,0,index
1997-08-17,NEPSE,169.57,169.57,169.57,169.57,0,index
1997-08-20,NEPSE,169.76,169.76,169.76,169.76,0,index
1997-08-21,NEPSE,169.57,169.57,169.57,169.57,0,index
1997-08-24,NEPSE,169.91,169.91,169.91,169.91,0,index
1997-08-26,NEPSE,169.57,169.57,169.57,169.57,0,index
1997-08-27,NEPSE,169.87,169.87,169.87,169.87,0,index
1997-08-28,NEPSE,169.98,169.98,169.98,169.98,0,index
1997-08-31,NEPSE,169.64,169.64,169.64,169.64,0,index
1997-09-01,NEPSE,170.13,170.13,170.13,170.13,0,index
1997-09-02,NEPSE,170.2,170.2,170.2,170.2,0,index
1997-09-03,NEPSE,168.74,168.74,168.74,168.74,0,index
1997-09-04,NEPSE,168.63,168.63,168.63,168.63,0,index
1997-09-07,NEPSE,168.49,168.49,168.49,168.49,0,index
1997-09-08,NEPSE,168.84,168.84,168.84,168.84,0,index
1997-09-09,NEPSE,169.18,169.18,169.18,169.18,0,index
1997-09-10,NEPSE,169.17,169.17,169.17,169.17,0,index
1997-09-11,NEPSE,169.99,169.99,169.99,169.99,0,index
1997-09-14,NEPSE,170.1,170.1,170.1,170.1,0,index
1997-09-16,NEPSE,170.45,170.45,170.45,170.45,0,index
1997-09-17,NEPSE,170.6,170.6,170.6,170.6,0,index
1997-09-18,NEPSE,169.67,169.67,169.67,169.67,0,index
1997-09-21,NEPSE,170.31,170.31,170.31,170.31,0,index
1997-09-22,NEPSE,170.06,170.06,170.06,170.06,0,index
1997-09-23,NEPSE,170.43,170.43,170.43,170.43,0,index
