time,open,high,low,close,volume
2012-01-01,422.0,430.0,425.0,427.0,450
2012-01-02,427.0,436.0,420.0,436.0,1055
2012-01-03,436.0,435.0,430.0,435.0,1270
2012-01-04,435.0,437.0,425.0,425.0,2020
2012-01-05,425.0,435.0,420.0,435.0,1040
2012-01-08,435.0,434.0,427.0,427.0,1885
2012-01-09,427.0,437.0,424.0,430.0,2855
2012-01-10,430.0,446.0,435.0,438.0,2310
2012-01-11,438.0,440.0,433.0,439.0,2800
2012-01-12,439.0,440.0,438.0,439.0,650
2012-01-16,439.0,443.0,440.0,443.0,2205
2012-01-17,443.0,448.0,448.0,448.0,100
2012-01-18,448.0,450.0,440.0,440.0,1100
2012-01-22,438.0,444.0,435.0,444.0,385
2012-01-23,444.0,438.0,435.0,437.0,875
2012-01-25,437.0,438.0,434.0,436.0,980
2012-01-26,436.0,436.0,436.0,436.0,1490
2012-01-29,436.0,439.0,432.0,436.0,6345
2012-01-31,436.0,439.0,434.0,436.0,950
2012-02-01,436.0,439.0,434.0,439.0,410
2012-02-02,439.0,438.0,431.0,438.0,2000
2012-02-05,438.0,435.0,435.0,435.0,600
2012-02-06,435.0,436.0,433.0,433.0,4205
2012-02-07,433.0,438.0,433.0,433.0,2280
2012-02-08,433.0,436.0,431.0,434.0,2770
2012-02-09,434.0,436.0,433.0,435.0,1090
2012-02-12,435.0,435.0,433.0,433.0,2375
2012-02-13,433.0,437.0,433.0,435.0,1630
2012-02-14,435.0,437.0,435.0,435.0,1965
2012-02-15,435.0,437.0,435.0,436.0,4900
2012-02-16,436.0,441.0,438.0,441.0,855
2012-02-21,441.0,443.0,441.0,441.0,1835
2012-02-23,441.0,446.0,444.0,445.0,10500
2012-02-26,445.0,444.0,440.0,444.0,2700
2012-02-27,444.0,447.0,443.0,445.0,1260
2012-02-28,445.0,453.0,445.0,447.0,3350
2012-02-29,447.0,449.0,447.0,449.0,1195
2012-03-01,449.0,452.0,447.0,452.0,2660
2012-03-04,452.0,453.0,447.0,447.0,1640
2012-03-05,447.0,452.0,448.0,448.0,1375
2012-03-06,448.0,447.0,447.0,447.0,445
2012-03-11,447.0,453.0,447.0,452.0,4930
2012-03-12,452.0,454.0,447.0,449.0,5030
2012-03-13,449.0,451.0,445.0,450.0,10610
2012-03-14,450.0,453.0,448.0,450.0,2655
2012-03-15,450.0,455.0,448.0,448.0,2280
2012-03-18,448.0,440.0,404.0,405.0,2055
2012-03-19,405.0,406.0,404.0,404.0,600
2012-03-20,404.0,405.0,400.0,400.0,1200
2012-03-21,400.0,405.0,404.0,405.0,640
2012-03-25,405.0,407.0,404.0,406.0,1070
2012-03-26,406.0,405.0,401.0,405.0,800
2012-03-27,405.0,406.0,401.0,406.0,1160
2012-03-28,406.0,408.0,405.0,406.0,520
2012-03-29,406.0,406.0,400.0,400.0,715
2012-04-01,400.0,403.0,402.0,402.0,450
2012-04-02,402.0,403.0,402.0,402.0,930
2012-04-03,402.0,403.0,401.0,401.0,700
2012-04-04,401.0,403.0,396.0,402.0,1135
2012-04-05,402.0,404.0,404.0,404.0,100
2012-04-08,404.0,404.0,404.0,404.0,795
2012-04-09,404.0,406.0,404.0,404.0,2290
2012-04-10,404.0,406.0,402.0,404.0,2710
2012-04-11,404.0,414.0,406.0,407.0,2200
2012-04-12,407.0,416.0,405.0,414.0,2945
2012-04-15,414.0,430.0,415.0,430.0,2375
2012-04-16,430.0,473.0,438.0,473.0,1140
2012-04-17,473.0,510.0,438.0,438.0,8720
2012-04-18,438.0,462.0,436.0,452.0,8350
2012-04-19,452.0,465.0,450.0,455.0,3590
2012-04-22,455.0,466.0,458.0,466.0,5165
2012-04-24,466.0,483.0,475.0,476.0,1125
2012-04-25,476.0,494.0,485.0,486.0,1230
2012-04-26,486.0,530.0,468.0,521.0,13900
2012-04-29,521.0,525.0,491.0,520.0,7160
2012-04-30,520.0,510.0,490.0,495.0,5790
2012-05-02,495.0,486.0,450.0,450.0,1435
2012-05-03,450.0,459.0,459.0,459.0,30
2012-05-07,459.0,499.0,481.0,499.0,310
2012-05-08,499.0,520.0,500.0,508.0,15200
2012-05-09,508.0,508.0,491.0,500.0,7710
2012-05-10,500.0,505.0,476.0,495.0,3970
2012-05-13,495.0,486.0,463.0,473.0,6395
2012-05-14,473.0,470.0,457.0,464.0,4650
2012-05-15,464.0,473.0,473.0,473.0,50
2012-05-16,473.0,520.0,482.0,520.0,1280
2012-05-17,520.0,540.0,502.0,507.0,4810
2012-05-20,507.0,501.0,479.0,490.0,1260
2012-05-21,490.0,500.0,490.0,498.0,2675
2012-05-22,498.0,500.0,485.0,485.0,1530
2012-05-23,485.0,476.0,460.0,460.0,1540
2012-05-24,460.0,488.0,462.0,481.0,1545
2012-05-27,481.0,501.0,479.0,501.0,4270
2012-05-29,501.0,491.0,451.0,451.0,1290
2012-05-30,451.0,443.0,427.0,438.0,8335
2012-05-31,438.0,472.0,435.0,451.0,3540
2012-06-03,451.0,496.0,460.0,488.0,1240
2012-06-04,488.0,479.0,461.0,472.0,1900
2012-06-05,472.0,470.0,460.0,465.0,805
2012-06-06,465.0,462.0,456.0,457.0,2320
2012-06-07,457.0,474.0,463.0,463.0,785
2012-06-10,463.0,465.0,458.0,461.0,1100
2012-06-11,461.0,467.0,460.0,465.0,1450
2012-06-12,465.0,474.0,465.0,468.0,450
2012-06-13,468.0,467.0,459.0,464.0,1885
2012-06-14,464.0,465.0,465.0,465.0,855
2012-06-17,465.0,465.0,458.0,460.0,2395
2012-06-18,460.0,465.0,452.0,464.0,2060
2012-06-19,464.0,464.0,455.0,463.0,5635
2012-06-20,463.0,469.0,458.0,462.0,1000
2012-06-21,462.0,463.0,454.0,460.0,1810
2012-06-25,460.0,474.0,455.0,472.0,4710
2012-06-26,472.0,470.0,465.0,465.0,1870
2012-06-27,465.0,470.0,452.0,470.0,2460
2012-06-28,470.0,480.0,466.0,480.0,2970
2012-07-01,480.0,475.0,470.0,470.0,1630
2012-07-02,470.0,472.0,470.0,472.0,1245
2012-07-03,472.0,475.0,465.0,471.0,1300
2012-07-04,471.0,489.0,470.0,475.0,3155
2012-07-05,475.0,481.0,475.0,475.0,345
2012-07-08,475.0,486.0,475.0,480.0,6960
2012-07-09,480.0,497.0,480.0,490.0,5285
2012-07-10,490.0,501.0,491.0,498.0,6815
2012-07-11,498.0,491.0,489.0,490.0,1700
2012-07-12,490.0,490.0,481.0,490.0,4260
2012-07-15,490.0,503.0,489.0,503.0,1190
2012-07-16,503.0,493.0,489.0,490.0,730
2012-07-17,490.0,492.0,473.0,490.0,1180
2012-07-18,490.0,501.0,490.0,500.0,6145
2012-07-19,500.0,511.0,503.0,505.0,4340
2012-07-22,505.0,528.0,510.0,525.0,5625
2012-07-23,525.0,540.0,525.0,526.0,5950
2012-07-24,526.0,530.0,511.0,530.0,3320
2012-07-25,530.0,540.0,524.0,524.0,1810
2012-07-26,524.0,523.0,519.0,520.0,1540
2012-07-29,520.0,520.0,510.0,510.0,1170
2012-07-30,510.0,525.0,511.0,525.0,2430
2012-07-31,525.0,521.0,518.0,521.0,7925
2012-08-01,521.0,525.0,515.0,525.0,3835
2012-08-05,525.0,530.0,515.0,525.0,2380
2012-08-06,525.0,525.0,520.0,523.0,3440
2012-08-07,523.0,528.0,525.0,528.0,2070
2012-08-08,528.0,530.0,525.0,530.0,2470
2012-08-12,530.0,532.0,525.0,531.0,5735
2012-08-13,531.0,535.0,527.0,535.0,8300
2012-08-14,535.0,537.0,533.0,537.0,4970
2012-08-15,537.0,535.0,530.0,534.0,7080
2012-08-16,534.0,535.0,530.0,534.0,2710
2012-08-19,534.0,538.0,530.0,530.0,3770
2012-08-21,530.0,540.0,530.0,537.0,3845
2012-08-22,537.0,541.0,535.0,541.0,7745
2012-08-23,541.0,545.0,541.0,545.0,2790
2012-08-26,545.0,559.0,540.0,559.0,6420
2012-08-27,559.0,594.0,559.0,594.0,31065
2012-08-28,594.0,612.0,588.0,593.0,28455
2012-08-29,593.0,590.0,580.0,587.0,4810
2012-08-30,587.0,596.0,581.0,586.0,1305
2012-09-02,586.0,590.0,578.0,590.0,5355
2012-09-03,590.0,600.0,581.0,588.0,2770
2012-09-04,588.0,590.0,579.0,581.0,3680
2012-09-05,581.0,579.0,575.0,577.0,1920
2012-09-06,577.0,585.0,569.0,575.0,4340
2012-09-09,575.0,573.0,564.0,573.0,2320
2012-09-10,573.0,573.0,562.0,570.0,9945
2012-09-11,570.0,579.0,570.0,575.0,2660
2012-09-12,575.0,584.0,572.0,584.0,3340
2012-09-13,584.0,595.0,575.0,595.0,2630
2012-09-16,595.0,601.0,585.0,589.0,5280
2012-09-17,589.0,595.0,587.0,592.0,6100
2012-09-18,592.0,600.0,591.0,596.0,9170
2012-09-19,596.0,599.0,591.0,594.0,1810
2012-09-20,594.0,600.0,588.0,600.0,3900
2012-09-23,600.0,591.0,580.0,588.0,6225
2012-09-24,588.0,594.0,585.0,594.0,6245
2012-09-25,594.0,599.0,593.0,593.0,2695
2012-09-26,593.0,604.0,594.0,596.0,5205
2012-09-27,596.0,606.0,590.0,606.0,14700
2012-09-30,606.0,614.0,601.0,610.0,5360
2012-10-01,610.0,618.0,610.0,618.0,13400
2012-10-02,618.0,623.0,616.0,621.0,7390
2012-10-03,621.0,627.0,621.0,626.0,10770
2012-10-04,626.0,663.0,620.0,660.0,25830
2012-10-07,660.0,690.0,664.0,664.0,16030
2012-10-08,664.0,670.0,650.0,650.0,5925
2012-10-09,650.0,668.0,650.0,655.0,11280
2012-10-10,655.0,653.0,648.0,648.0,5920
2012-10-11,648.0,655.0,642.0,650.0,3555
2012-10-14,650.0,652.0,645.0,652.0,5265
2012-10-15,652.0,651.0,646.0,647.0,3380
2012-10-17,647.0,663.0,647.0,660.0,6010
2012-10-18,660.0,677.0,655.0,675.0,3520
2012-10-30,675.0,687.0,669.0,687.0,2720
2012-10-31,687.0,681.0,670.0,672.0,6185
2012-11-01,672.0,674.0,662.0,662.0,7445
2012-11-04,662.0,667.0,660.0,667.0,5765
2012-11-05,667.0,679.0,661.0,667.0,6170
2012-11-06,667.0,671.0,665.0,670.0,7770
2012-11-07,670.0,680.0,665.0,671.0,12870
2012-11-08,671.0,688.0,668.0,670.0,7090
2012-11-11,670.0,673.0,657.0,673.0,5310
2012-11-12,673.0,671.0,651.0,664.0,2730
2012-11-18,664.0,680.0,660.0,671.0,5210
2012-11-20,671.0,679.0,670.0,670.0,3360
2012-11-21,670.0,670.0,655.0,668.0,7290
2012-11-22,668.0,670.0,660.0,667.0,4625
2012-11-25,667.0,680.0,666.0,670.0,5850
2012-11-26,670.0,669.0,663.0,667.0,33930
2012-11-27,667.0,670.0,660.0,664.0,12155
2012-11-28,664.0,662.0,657.0,660.0,4895
2012-11-29,660.0,678.0,656.0,660.0,2835
2012-12-02,660.0,659.0,653.0,658.0,2625
2012-12-03,658.0,660.0,652.0,660.0,2455
2012-12-04,660.0,671.0,660.0,665.0,5305
2012-12-05,665.0,670.0,661.0,665.0,3985
2012-12-06,665.0,665.0,656.0,665.0,2420
2012-12-09,665.0,660.0,648.0,652.0,6235
2012-12-10,652.0,648.0,640.0,645.0,8090
2012-12-11,645.0,655.0,650.0,650.0,4410
2012-12-13,650.0,660.0,655.0,660.0,3085
2012-12-16,660.0,671.0,662.0,670.0,5860
2012-12-17,670.0,669.0,661.0,662.0,5790
2012-12-18,662.0,665.0,660.0,665.0,2920
2012-12-19,665.0,665.0,657.0,658.0,1890
2012-12-20,658.0,666.0,650.0,659.0,5780
2012-12-23,659.0,668.0,651.0,655.0,2320
2012-12-24,655.0,659.0,650.0,659.0,5585
2012-12-26,659.0,674.0,659.0,666.0,6795
2012-12-27,666.0,674.0,662.0,664.0,6770
2012-12-31,664.0,663.0,655.0,660.0,4210
2013-01-01,660.0,665.0,658.0,663.0,4545
2013-01-02,663.0,665.0,657.0,665.0,4530
2013-01-03,665.0,666.0,655.0,661.0,5160
2013-01-06,661.0,665.0,660.0,663.0,1520
2013-01-07,663.0,663.0,655.0,660.0,2350
2013-01-08,660.0,661.0,651.0,661.0,1695
2013-01-09,661.0,655.0,640.0,654.0,5920
2013-01-10,654.0,663.0,655.0,660.0,2160
2013-01-13,660.0,665.0,656.0,665.0,5520
2013-01-15,665.0,663.0,650.0,657.0,6110
2013-01-16,657.0,660.0,656.0,660.0,1610
2013-01-17,660.0,655.0,652.0,655.0,1630
2013-01-20,655.0,652.0,649.0,650.0,3505
2013-01-21,650.0,659.0,651.0,659.0,1050
2013-01-22,659.0,662.0,650.0,662.0,1400
2013-01-23,662.0,658.0,650.0,655.0,3935
2013-01-24,655.0,654.0,650.0,651.0,4490
2013-01-27,651.0,652.0,648.0,648.0,3665
2013-01-28,648.0,655.0,650.0,653.0,1750
2013-01-30,653.0,655.0,645.0,651.0,5920
2013-01-31,651.0,652.0,647.0,650.0,2240
2013-02-03,650.0,658.0,650.0,650.0,4100
2013-02-04,650.0,651.0,645.0,650.0,2470
2013-02-05,650.0,654.0,644.0,651.0,5570
2013-02-06,651.0,651.0,648.0,650.0,1530
2013-02-07,650.0,652.0,648.0,652.0,3945
